search_location,radius_km,hotel_name,address,rating,user_rating_count,business_status,distress_score,distress_reasons,review_trend_score,review_volume_recent,review_volume_prior,review_volume_change_pct,avg_rating_recent,avg_rating_prior,review_rating_delta,complaint_rate_recent,complaint_rate_prior,review_complaint_delta,year_built,property_age,renovation_signal_rate,renovation_needed,physical_condition_score,google_maps_url,was_franchise,former_brand,franchise_confidence,franchise_evidence,cmbs_loan_status,cmbs_delinquency_flag,cmbs_watchlist_flag,cmbs_special_servicing_flag,cmbs_confidence,cmbs_evidence,owner_name,owner_company,mailing_address,owner_phone,owner_confidence,owner_evidence,ownership_since,ownership_length_years,attom_year_built,is_older_than_20_years
"South Beach, Miami Beach, Florida",2.0,Kenmore Village Hotel,"1050 Washington Ave, Miami Beach, FL 33139, USA",3.8,728,OPERATIONAL,11,Moderate-to-low rating with enough reviews: 728 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: broken | Negative review signal: rude | Negative review signal: unhygienic | Negative review signal: disappointing | Complaint rate increase: 1.4 | Renovation signals in reviews: 80.0%,2,5,0,100.0,2.4,0.0,2.4,1.4,0.0,1.4,,,0.8,True,2,https://maps.google.com/?cid=5038470675610533493&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,False,False,False,Not Checked,,WPH PROPERTIES LLC,WPH PROPERTIES LLC,"8701 WILSHIRE BLVD, BEVERLY HILLS, CA 90211-2701",,High,Retrieved from ATTOM property records,,,1936,Yes
"Mid-Beach, Miami Beach, Florida",2.0,Lexington by Hotel RL Miami Beach,"4299 Collins Ave, Miami Beach, FL 33140, USA",3.4,2592,OPERATIONAL,11,Low rating: 3.4 | Moderate-to-low rating with enough reviews: 2592 | Negative review signal: dirty | Negative review signal: filthy | Negative review signal: worst | Negative review signal: refund | Complaint rate increase: 1.0 | Renovation signals in reviews: 80.0%,2,5,0,100.0,2.4,0.0,2.4,1.0,0.0,1.0,,,0.8,True,2,https://maps.google.com/?cid=14622746125607560830&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,False,False,False,Not Checked,,,,"4333 COLLINS AVE, MIAMI BEACH, FL 33140-3212",,Low,Owner data unavailable,,,1950,Yes
"Miami International Airport, Florida",3.0,Hilton Miami Airport Blue Lagoon,"5101 Waterford District Dr, Miami, FL 33126, USA",3.9,7086,OPERATIONAL,11,Moderate-to-low rating with enough reviews: 7086 | Negative review signal: smell | Negative review signal: broken | Negative review signal: stained | Negative review signal: disappointing | Operational distress signal: closed | Complaint rate increase: 1.2 | Renovation signals in reviews: 200.0%,2,5,0,100.0,2.2,0.0,2.2,1.2,0.0,1.2,,,2.0,True,2,https://maps.google.com/?cid=16753740022523085656&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,False,False,False,Not Checked,,M2 MIAMI AIRPORT BLUE LAGOON LLC,M2 MIAMI AIRPORT BLUE LAGOON LLC,"1503 LYNDON B JOHNSON FWY, DALLAS, TX 75234-6011",,High,Retrieved from ATTOM property records,,,1983,Yes
"Miami International Airport, Florida",3.0,Extended Stay America Premier Suites- Miami - Airport - Miami Springs,"101 Fairway Dr, Miami, FL 33166, USA",3.9,1090,OPERATIONAL,11,Moderate-to-low rating with enough reviews: 1090 | Negative review signal: dirty | Negative review signal: broken | Negative review signal: worst | Negative review signal: refund | Operational distress signal: closed | Operational distress signal: run down | Renovation signals in reviews: 100.0%,0,3,2,50.0,3.33,3.5,-0.17,1.33,1.0,0.33,,,1.0,True,2,https://maps.google.com/?cid=8215652911539425113&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,False,False,False,Not Checked,,ESA C2 P PORTFOLIO OPERATING LESSEE,,"13024 BALLANTYNE CORPORATE PL STE 1000, CHARLOTTE, NC 28277-0496",,High,Retrieved from ATTOM property records,,,1998,Yes
"Orlando International Drive, Florida",3.0,SureStay Plus By Best Western Orlando International Drive,"5859 American Way, Orlando, FL 32819, USA",3.6,2105,OPERATIONAL,11,Moderate-to-low rating with enough reviews: 2105 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: mold | Negative review signal: unsafe | Negative review signal: refund | Negative review signal: disappointing | Review volume decline: -33.33% | Renovation signals in reviews: 100.0%,2,2,3,-33.33,1.0,1.0,0.0,1.0,2.67,-1.67,,,1.0,True,2,https://maps.google.com/?cid=2708707322529837040&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,False,False,False,Not Checked,,MM INTERNATIONAL FAMILY RESORT LLC,MM INTERNATIONAL FAMILY RESORT LLC,"8367 VIA ROSA, ORLANDO, FL 32836-8788",,High,Retrieved from ATTOM property records,,,1983,Yes
"Miami Beach, Florida",3.0,Crest Hotel Suites,"1670 James Ave, Miami Beach, FL 33139, USA",3.7,1450,OPERATIONAL,10,Moderate-to-low rating with enough reviews: 1450 | Negative review signal: dirty | Negative review signal: worst | Negative review signal: refund | Operational distress signal: run down | Complaint rate increase: 0.8 | Renovation signals in reviews: 80.0%,2,5,0,100.0,2.4,0.0,2.4,0.8,0.0,0.8,,,0.8,True,2,https://maps.google.com/?cid=4374670543112714420&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,False,False,False,Not Checked,,CREST HOTEL GROUP LLC,CREST HOTEL GROUP LLC,"2701 PONCE DE LEON BLVD STE 202, CORAL GABLES, FL 33134-6020",,High,Retrieved from ATTOM property records,,,1941,Yes
"Miami Beach, Florida",3.0,James Hotel,"1680 James Ave, Miami Beach, FL 33139, USA",3.6,902,OPERATIONAL,10,Moderate-to-low rating with enough reviews: 902 | Negative review signal: smell | Negative review signal: rude | Negative review signal: refund | Review volume decline: -33.33% | Rating decline: -0.67 | Renovation signals in reviews: 100.0%,4,2,3,-33.33,1.0,1.67,-0.67,1.0,0.67,0.33,,,1.0,True,2,https://maps.google.com/?cid=7730705687648854841&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,False,False,False,Not Checked,,,,"1680 JAMES AVE, MIAMI BEACH, FL 33139-3115",,Low,Owner data unavailable,,,1939,Yes
"Mid-Beach, Miami Beach, Florida",2.0,Holiday Inn Miami Beach-Oceanfront by IHG,"4333 Collins Ave, Miami Beach, FL 33140, USA",3.8,3564,OPERATIONAL,10,Moderate-to-low rating with enough reviews: 3564 | Negative review signal: rude | Negative review signal: noise | Negative review signal: disappointing | Rating decline: -1.75 | Complaint rate increase: 0.75 | Renovation signals in reviews: 40.0%,4,4,1,300.0,3.25,5.0,-1.75,0.75,0.0,0.75,,,0.4,True,2,https://maps.google.com/?cid=14822438388344559019&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,False,False,False,Not Checked,,,,"4333 COLLINS AVE, MIAMI BEACH, FL 33140-3212",,Low,Owner data unavailable,,,1952,Yes
"Mid-Beach, Miami Beach, Florida",2.0,Fontainebleau Miami Beach Private Suites,"4391 Collins Ave #715, Miami Beach, FL 33140, USA",3.7,45,OPERATIONAL,10,Moderate-to-low rating with enough reviews: 45 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: mold | Negative review signal: rude | Negative review signal: refund | Rating decline: -1.0 | Renovation signals in reviews: 40.0%,2,1,1,0.0,1.0,2.0,-1.0,1.0,2.0,-1.0,,,0.4,True,2,https://maps.google.com/?cid=14331867207125967385&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,False,False,False,Not Checked,,EVERGREEN GROUP LLC,EVERGREEN GROUP LLC,"2554 N ROSEMONT CT, WICHITA, KS 67228-8022",,High,Retrieved from ATTOM property records,,,2008,No
"Miami International Airport, Florida",3.0,Miami International Airport Hotel,"Le Jeune Rd, Concourse E 2nd Floor Miami International Airport Hotel, NW 20th St, Miami, FL 33122, USA",4.1,27969,OPERATIONAL,10,Negative review signal: dirty | Negative review signal: smell | Operational distress signal: closed | Operational distress signal: run down | Complaint rate increase: 1.0 | Renovation signals in reviews: 60.0%,2,5,0,100.0,3.2,0.0,3.2,1.0,0.0,1.0,,,0.6,True,2,https://maps.google.com/?cid=12243781252096870701&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,False,False,False,Not Checked,,,,,,Low,ATTOM lookup failed: 400 Client Error: Bad Request for url: https://api.gateway.attomdata.com/propertyapi/v1.0.0/property/detailowner?address1=Le+Jeune+Rd&address2=Concourse+E+2nd+Floor+Miami+International+Airport+Hotel%2C+NW+20th+St,,,,
"Miami International Airport, Florida",3.0,Ramada by Wyndham Miami Springs/Miami International Airport,"5001 NW 36th St, Miami Springs, FL 33166, USA",3.8,3345,OPERATIONAL,10,Moderate-to-low rating with enough reviews: 3345 | Negative review signal: smell | Negative review signal: worst | Negative review signal: disappointing | Operational distress signal: closed | Complaint rate increase: 1.0 | Renovation signals in reviews: 80.0%,2,5,0,100.0,3.4,0.0,3.4,1.0,0.0,1.0,,,0.8,True,2,https://maps.google.com/?cid=8313421339966654184&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,False,False,False,Not Checked,,,,,,Low,ATTOM lookup failed: 400 Client Error: Bad Request for url: https://api.gateway.attomdata.com/propertyapi/v1.0.0/property/detailowner?address1=5001+NW+36th+St&address2=Miami+Springs%2C+FL+33166,,,,
"Miami International Airport, Florida",3.0,Days Inn by Wyndham Miami Airport North,"4767 NW 36th St, Miami, FL 33166, USA",2.7,3089,OPERATIONAL,10,Low rating: 2.7 | Moderate-to-low rating with enough reviews: 3089 | Negative review signal: dirty | Negative review signal: smell | Negative review signal: rude | Complaint rate increase: 0.6 | Renovation signals in reviews: 80.0%,2,5,0,100.0,2.8,0.0,2.8,0.6,0.0,0.6,,,0.8,True,2,https://maps.google.com/?cid=18130091764044135894&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,False,False,False,Not Checked,,,,"4467 NW 36TH ST, MIAMI SPRINGS, FL 33166-7225",,Low,Owner data unavailable,,,1952,Yes
"West Palm Beach, Florida",4.0,Hotel Evernia,"609 Evernia St, West Palm Beach, FL 33401, USA",3.6,175,OPERATIONAL,10,Moderate-to-low rating with enough reviews: 175 | Negative review signal: cockroach | Negative review signal: refund | Negative review signal: noise | Operational distress signal: closed | Rating decline: -5.0 | Renovation signals in reviews: 60.0%,2,0,1,-100.0,0.0,5.0,-5.0,0.0,1.0,-1.0,,,0.6,True,2,https://maps.google.com/?cid=1445896071957179283&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,False,False,False,Not Checked,,SAMAR WP LLC,SAMAR WP LLC,"609 CANTIAGUE ROCK RD UNIT 2, WESTBURY, NY 11590-1721",,High,Retrieved from ATTOM property records,,,1921,Yes
"Key West, Florida",3.0,Casa Marina,"Key West, FL 33040, USA",2.6,24,OPERATIONAL,10,Low rating: 2.6 | Moderate-to-low rating with enough reviews: 24 | Negative review signal: smell | Negative review signal: worst | Negative review signal: rude | Complaint rate increase: 0.6 | Renovation signals in reviews: 40.0%,2,5,0,100.0,2.6,0.0,2.6,0.6,0.0,0.6,,,0.4,True,2,https://maps.google.com/?cid=5048248402275417001&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,False,False,False,Not Checked,,,,,,Low,ATTOM lookup failed: 400 Client Error: Bad Request for url: https://api.gateway.attomdata.com/propertyapi/v1.0.0/property/detailowner?address1=Key+West&address2=FL+33040,,,,
"Kissimmee, Florida",3.0,Kapp and Kappy B&B,"21 N Clyde Ave, Kissimmee, FL 34741, USA",4.5,58,OPERATIONAL,10,Negative review signal: smell | Negative review signal: broken | Operational distress signal: run down | Rating decline: -2.67 | Complaint rate increase: 1.0 | Renovation signals in reviews: 40.0%,4,3,1,200.0,2.33,5.0,-2.67,1.0,0.0,1.0,,,0.4,True,2,https://maps.google.com/?cid=7880857910477186563&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,False,False,False,Not Checked,,CHRISTINE G KAPP,,"21 N CLYDE AVE, KISSIMMEE, FL 34741-5419",,High,Retrieved from ATTOM property records,,,1920,Yes
"Kissimmee, Florida",3.0,Lambert Inn,"410 W Vine St, Kissimmee, FL 34741, USA",3.1,58,OPERATIONAL,10,Low rating: 3.1 | Moderate-to-low rating with enough reviews: 58 | Negative review signal: filthy | Rating decline: -1.0 | Complaint rate increase: 0.5 | Renovation signals in reviews: 33.0%,4,2,1,100.0,3.0,4.0,-1.0,0.5,0.0,0.5,,,0.33,True,2,https://maps.google.com/?cid=6902416395142631673&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,False,False,False,Not Checked,,NARESHWER CORP,,"410 W VINE ST, KISSIMMEE, FL 34741-4155",,High,Retrieved from ATTOM property records,,,1973,Yes
"Kissimmee, Florida",3.0,Flamingo Inn,"801 E Vine St, Kissimmee, FL 34744, USA",3,213,OPERATIONAL,10,Low rating: 3 | Moderate-to-low rating with enough reviews: 213 | Negative review signal: dirty | Negative review signal: worst | Negative review signal: unsafe | Rating decline: -2.67 | Complaint rate increase: 1.33,4,3,1,200.0,2.33,5.0,-2.67,1.33,0.0,1.33,,,0.0,False,0,https://maps.google.com/?cid=2949369907576545270&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,False,False,False,Not Checked,,H PATEL H H MANUBHAI,,"3038 CRESTED CIR, ORLANDO, FL 32837-6956",,High,Retrieved from ATTOM property records,,,1980,Yes
"Miami Beach, Florida",3.0,Albion Hotel,"1650 James Ave, Miami Beach, FL 33139, USA",3.9,1611,OPERATIONAL,9,Moderate-to-low rating with enough reviews: 1611 | Negative review signal: smell | Negative review signal: noise | Rating decline: -1.25 | Complaint rate increase: 0.5 | Renovation signals in reviews: 60.0%,4,4,1,300.0,3.75,5.0,-1.25,0.5,0.0,0.5,,,0.6,True,2,https://maps.google.com/?cid=5095127357214573669&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,False,False,False,Not Checked,,,,"311 LINCOLN RD STE 200, MIAMI BEACH, FL 33139-3150",,Low,Owner data unavailable,,,1939,Yes
"Miami Beach, Florida",3.0,Hyatt Centric South Beach Miami,"1600 Collins Ave, Miami Beach, FL 33139, USA",4,1049,OPERATIONAL,9,Negative review signal: dirty | Operational distress signal: understaffed | Operational distress signal: declining | Complaint rate increase: 0.6 | Renovation signals in reviews: 60.0%,2,5,0,100.0,4.0,0.0,4.0,0.6,0.0,0.6,,,0.6,True,2,https://maps.google.com/?cid=11288972354984257119&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,False,False,False,Not Checked,,1600 COLLINS AVENUE LLC,1600 COLLINS AVENUE LLC,"20807 BISCAYNE BLVD STE 200, MIAMI, FL 33180-1410",,High,Retrieved from ATTOM property records,,,2015,No
"Mid-Beach, Miami Beach, Florida",2.0,Radisson Resort Miami Beach,"4343 Collins Ave, Miami Beach, FL 33140, USA",3.7,2398,OPERATIONAL,9,Moderate-to-low rating with enough reviews: 2398 | Negative review signal: rude | Negative review signal: disappointing | Operational distress signal: closed | Complaint rate increase: 0.6 | Renovation signals in reviews: 40.0%,2,5,0,100.0,2.6,0.0,2.6,0.6,0.0,0.6,,,0.4,True,2,https://maps.google.com/?cid=7823534885686218488&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,False,False,False,Not Checked,,,,"4333 COLLINS AVE, MIAMI BEACH, FL 33140-3212",,Low,Owner data unavailable,,,1938,Yes
"Mid-Beach, Miami Beach, Florida",2.0,Roami at The Carmela,"4025 Indian Creek Dr, Miami Beach, FL 33140, USA",1.3,4,OPERATIONAL,9,Low rating: 1.3 | Negative review signal: smell | Negative review signal: worst | Negative review signal: refund | Complaint rate increase: 1.0 | Renovation signals in reviews: 75.0%,2,4,0,100.0,1.25,0.0,1.25,1.0,0.0,1.0,,,0.75,True,2,https://maps.google.com/?cid=2943937046677957941&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,False,,Low,No franchise affiliation detected,,False,False,False,Not Checked,,,,"4025 INDIAN CREEK DR, MIAMI, FL 33140-3741",,Low,Owner data unavailable,,,1939,Yes
